imports,exports,energy,year,country,four_regions,six_regions,eight_regions,world_bank_region
,,763,1997,North Korea,,,,
53.3,23.3,1440,1997,North Macedonia,,,,
,,,1997,Northern Mariana Islands,,,,
35.1,36.9,5680,1997,Norway,europe,europe_central_asia,europe_west,Europe & Central Asia
40.9,33.1,3020,1997,Oman,asia,middle_east_north_africa,asia_west,Middle East & North Africa
17.5,16.5,438,1997,Pakistan,asia,south_asia,asia_west,South Asia
,,,1997,Palau,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
70.9,18.1,,1997,Palestine,asia,middle_east_north_africa,asia_west,Middle East & North Africa
83.6,67.7,883,1997,Panama,americas,america,america_north,Latin America & Caribbean
48.8,54,,1997,Papua New Guinea,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
47,54.6,844,1997,Paraguay,americas,america,america_south,Latin America & Caribbean
19.3,13.7,448,1997,Peru,americas,america,america_south,Latin America & Caribbean
53.9,44.8,504,1997,Philippines,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
30.8,25.9,2460,1997,Poland,europe,europe_central_asia,europe_west,Europe & Central Asia
36.5,27.3,2240,1997,Portugal,europe,europe_central_asia,europe_west,Europe & Central Asia
40.3,56,,1997,Puerto Rico,,,,
40,51.1,19.3k,1997,Qatar,asia,middle_east_north_africa,asia_west,Middle East & North Africa
30.8,23,1820,1997,Romania,europe,europe_central_asia,europe_east,Europe & Central Asia
24.6,31.2,3980,1997,Russia,europe,europe_central_asia,europe_east,Europe & Central Asia
23.2,5.59,,1997,Rwanda,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
,,,1997,Samoa,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,San Marino,europe,europe_central_asia,europe_west,Europe & Central Asia
,,,1997,Sao Tome and Principe,,,,
26.5,29.6,4650,1997,Saudi Arabia,asia,middle_east_north_africa,asia_west,Middle East & North Africa
29.5,18.6,229,1997,Senegal,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
23.6,18.7,2300,1997,Serbia,europe,europe_central_asia,europe_east,Europe & Central Asia
63,20.1,,1997,Seychelles,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
21.3,14.1,,1997,Sierra Leone,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
145,167,5080,1997,Singapore,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,Sint Maarten (Dutch part),,,,
56.6,45.5,3260,1997,Slovak Republic,europe,europe_central_asia,europe_east,Europe & Central Asia
49.2,47.5,3250,1997,Slovenia,europe,europe_central_asia,europe_east,Europe & Central Asia
42.6,40.5,,1997,Solomon Islands,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,Somalia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
23.9,25,2470,1997,South Africa,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
29,39.5,3380,1997,South Korea,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,South Sudan,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
26.6,26.1,2760,1997,Spain,europe,europe_central_asia,europe_west,Europe & Central Asia
42.3,36.2,381,1997,Sri Lanka,asia,south_asia,asia_west,South Asia
,,,1997,St. Kitts and Nevis,,,,
,,,1997,St. Lucia,,,,
66.6,42.1,,1997,St. Vincent and the Grenadines,americas,america,america_north,Latin America & Caribbean
15.2,6.7,487,1997,Sudan,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
,,,1997,Suriname,americas,america,america_south,Latin America & Caribbean
34.3,40,5770,1997,Sweden,europe,europe_central_asia,europe_west,Europe & Central Asia
41.8,45.9,3560,1997,Switzerland,europe,europe_central_asia,europe_west,Europe & Central Asia
30.9,30.5,991,1997,Syria,asia,middle_east_north_africa,asia_west,Middle East & North Africa
58,48.9,373,1997,Tajikistan,asia,europe_central_asia,asia_west,Europe & Central Asia
15.9,10,376,1997,Tanzania,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
42.3,57.9,1070,1997,Thailand,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,Timor-Leste,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
43.3,29.7,399,1997,Togo,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
58.7,19.6,,1997,Tonga,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,6310,1997,Trinidad and Tobago,,,,
41.5,38.5,717,1997,Tunisia,africa,middle_east_north_africa,africa_north,Middle East & North Africa
19.7,20.7,1170,1997,Turkey,europe,europe_central_asia,europe_east,Europe & Central Asia
66.6,29.7,2840,1997,Turkmenistan,asia,europe_central_asia,asia_west,Europe & Central Asia
20.4,9.64,,1997,Uganda,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
44.2,41.9,2710,1997,Ukraine,europe,europe_central_asia,europe_east,Europe & Central Asia
,,11.2k,1997,United Arab Emirates,asia,middle_east_north_africa,asia_west,Middle East & North Africa
24.8,24.1,3790,1997,United Kingdom,europe,europe_central_asia,europe_west,Europe & Central Asia
12.3,10.5,7800,1997,United States,americas,america,america_north,North America
19.2,16.4,901,1997,Uruguay,americas,america,america_south,Latin America & Caribbean
22.9,22.6,2080,1997,Uzbekistan,asia,europe_central_asia,asia_west,Europe & Central Asia
52.5,42.3,,1997,Vanuatu,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
22.7,20.9,2250,1997,Venezuela,americas,america,america_south,Latin America & Caribbean
52.2,44.8,340,1997,Vietnam,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
,,,1997,Virgin Islands (U.S.),,,,
,,241,1997,Yemen,,,,
31.6,24.6,617,1997,Zambia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
45.1,43.4,845,1997,Zimbabwe,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
